id,name,description,category,brand,price,rating,in_stock,tags,date_added
P096,Pro Immersion Blender Handheld,Powerful handheld immersion blender with variable speed and whisk attachment,Home & Kitchen,ChefPro,9797.2,4.4,true,"blender,immersion,handheld,kitchen,variable-speed",2025-04-28T00:00:00Z
P097,Climbing Chalk Bag Max,Drawstring climbing chalk bag with waist belt and zippered pocket,Sports,TrailBlaze,4757.2,4.2,true,"climbing,chalk,bag,bouldering,outdoor",2025-05-10T00:00:00Z
P098,Blockchain Development Guide Edition,Learn blockchain development smart contracts and decentralized applications,Books,TechPress,11757.2,4.4,true,"blockchain,smart-contracts,dapps,ethereum,web3",2025-06-15T00:00:00Z
P099,Collagen Face Moisturizer Series,Marine collagen moisturizer with niacinamide for firmness and glow,Beauty,GlowLab,8957.2,4.5,true,"collagen,moisturizer,niacinamide,firmness,skincare",2025-07-02T00:00:00Z
P100,Zen Noise Cancelling Travel Headphones,Foldable travel headphones with adaptive noise cancelling and quick charge,Electronics,SoundMax,41997.2,4.6,true,"headphones,travel,noise-cancelling,foldable,portable",2025-08-18T00:00:00Z
P101,Classic Personal Smoothie Blender,High-speed personal blender with travel lid for healthy on-the-go drinks,Home & Kitchen,BrewMaster,33479.6,4.1,true,"blender,smoothie,home,personal,kitchen",2025-07-06T00:00:00Z
P102,Smart The Craft of Woodworking,Essential techniques and projects for the modern woodworker,Books,GreenBooks,12376.0,4.3,true,"woodworking,craft,books,the",2025-06-23T00:00:00Z
P103,Aura The Psychology of Success,Understanding the mindset habits and traits of high achievers,Books,GreenBooks,28750.4,4.1,true,"psychology,success,books,the",2025-08-16T00:00:00Z
P104,Pro USB-C to HDMI Adapter,Reliable 4K 60Hz video output adapter for laptops and tablets,Electronics,SmartLife,47093.2,4.6,false,"hdmi,adapter,electronics,usb-c",2025-08-13T00:00:00Z
P105,Travel Photography Tips Edition,How to capture stunning images of your world adventures,Books,GreenBooks,114758.0,4.2,true,"books,photography,travel,tips",2025-07-05T00:00:00Z
P106,Smart USB-C to HDMI Adapter Pro,Reliable 4K 60Hz video output adapter for laptops and tablets,Electronics,KeyMaster,49907.2,4.9,false,"hdmi,pro,usb-c,adapter,electronics",2025-08-28T00:00:00Z
P107,Argan Oil Hair Mask One,Deep conditioning treatment with argan oil for silky smooth hair,Beauty,SunShield,41588.4,4.4,true,"beauty,mask,oil,argan,hair",2025-01-02T00:00:00Z
P108,Boxing Speed Bag One,High-grade leather speed bag for developing hand-eye coordination,Sports,FlexFit,105128.8,4.4,true,"boxing,sports,speed,bag",2025-08-13T00:00:00Z
P109,Smart Magnetic Knife Strip,Space-saving stainless steel magnetic bar for organizing kitchen knives,Home & Kitchen,BrewMaster,33530.0,4.2,false,"home,strip,kitchen,magnetic,knife",2025-02-05T00:00:00Z
P110,Mandoline Slicer X,Professional vegetable slicer with adjustable blades and safety guard,Home & Kitchen,SmartLife,68096.0,4.5,false,"mandoline,home,slicer,kitchen",2025-09-28T00:00:00Z
P111,Distressed Skinny Jeans v2,Stylish skinny fit jeans with authentic distressing and stretch comfort,Clothing,SportStep,34739.6,4.0,true,"jeans,clothing,skinny,distressed",2025-04-27T00:00:00Z
P112,Nova Jade Roller and Gua Sha,Natural jade facial massage set for reducing puffiness and tension,Beauty,SmartLife,59953.6,4.0,true,"beauty,jade,and,sha,roller",2025-10-03T00:00:00Z
P113,Prime Wool Blend Overcoat,Elegant wool blend overcoat with tailored fit for formal occasions,Clothing,DenimCo,54286.4,4.7,true,"wool,clothing,overcoat,blend",2025-06-04T00:00:00Z
P114,Resistance Band Bar X,Portable workout bar for use with resistance bands for full body training,Sports,TrailBlaze,81863.6,4.3,true,"resistance,band,sports,bar",2025-05-24T00:00:00Z
P115,Prime Vertical Ergonomic Mouse,Unique vertical design mouse to reduce wrist strain and improve productivity,Electronics,SmartLife,88435.2,4.5,true,"mouse,vertical,ergonomic,electronics",2025-09-10T00:00:00Z
P116,Prime Breathable Mesh Cap,Adjustable 6-panel athletic cap with moisture-wicking headband,Clothing,NordicKnit,64568.0,4.8,true,"breathable,clothing,mesh,cap",2025-03-06T00:00:00Z
P117,Aura Seamless Workout Leggings,High-waisted compression leggings with moisture-wicking fabric for gym sessions,Clothing,DenimCo,22540.0,4.1,true,"seamless,leggings,clothing,workout",2025-04-23T00:00:00Z
P118,Pro Solar Power Bank,Outdoor solar charger with 15000mAh capacity and dual USB ports,Electronics,TechConnect,117238.8,4.2,true,"bank,solar,power,electronics",2025-04-16T00:00:00Z
P119,Classic Tiered Spice Rack,Expandable bamboo spice organizer for cabinet or countertop use,Home & Kitchen,HomeEssentials,57657.6,4.0,true,"rack,home,kitchen,tiered,spice",2025-05-09T00:00:00Z
P120,Breathable Mesh Cap Pro One,Adjustable 6-panel athletic cap with moisture-wicking headband,Clothing,NordicKnit,101858.4,4.1,true,"cap,clothing,pro,mesh,breathable",2025-01-16T00:00:00Z
P121,Portable Mini Projector Edition,Pocket-sized DLP projector with built-in battery and HDMI input,Electronics,ErgoTech,37606.8,4.8,true,"projector,portable,electronics,mini",2025-01-09T00:00:00Z
P122,Corduroy Button-Down One,Soft fine-wale corduroy shirt with button-down collar and chest pocket,Clothing,SportStep,104941.2,4.9,true,"clothing,button-down,corduroy",2025-10-09T00:00:00Z
P123,Portable Soccer Goal Max,Pop-up soccer goal with stakes and carrying bag for backyard practice,Sports,FlexFit,59399.2,4.2,false,"sports,goal,portable,soccer",2025-03-19T00:00:00Z
P124,Glass Meal Prep Containers X,Set of 5 airtight glass containers with snap-lock lids for food storage,Home & Kitchen,DreamComfort,100744.0,4.8,true,"glass,home,meal,kitchen,prep",2025-06-29T00:00:00Z
P125,Baking Artisan Bread Edition,Master the art of sourdough and crusty loaves at home,Books,GreenBooks,68770.8,4.8,false,"artisan,bread,baking,books",2025-07-04T00:00:00Z
P126,Classic Travel Photography Tips Pro,How to capture stunning images of your world adventures,Books,CreativePress,87903.2,4.9,true,"travel,pro,books,photography,tips",2025-02-25T00:00:00Z
P127,Core Lightweight Puffer Vest,Insulated water-resistant puffer vest perfect for layering in cool weather,Clothing,DenimCo,79013.2,4.7,true,"puffer,clothing,lightweight,vest",2025-03-10T00:00:00Z
P128,Lightweight Puffer Vest Pro Series,Insulated water-resistant puffer vest perfect for layering in cool weather,Clothing,TrailBlaze,26272.4,4.3,true,"clothing,pro,vest,puffer,lightweight",2025-08-04T00:00:00Z
P129,Packable Rain Jacket Max,Ultra-lightweight waterproof rain jacket that folds into its own pocket,Clothing,TrailBlaze,6795.6,3.8,false,"packable,jacket,rain,clothing",2025-06-29T00:00:00Z
P130,Nova Wool Blend Overcoat Pro,Elegant wool blend overcoat with tailored fit for formal occasions,Clothing,TrailBlaze,92730.4,4.8,true,"clothing,pro,overcoat,blend,wool",2025-05-05T00:00:00Z
P131,Core Hydrating Face Mist,Refreshing mist with aloe vera and cucumber for instant hydration,Beauty,GlowLab,97848.8,3.9,true,"face,beauty,mist,hydrating",2025-05-06T00:00:00Z
P132,Prime Wall-Mounted Key Holder,Rustic wooden key organizer with mail slot and decorative hooks,Home & Kitchen,ChefPro,5882.8,4.9,false,"key,home,holder,kitchen,wall-mounted",2025-07-18T00:00:00Z
P133,Solar Power Bank Pro v2,Outdoor solar charger with 15000mAh capacity and dual USB ports,Electronics,SmartLife,2844.8,4.3,true,"bank,solar,power,pro,electronics",2025-05-07T00:00:00Z
P134,Reusable Produce Bags Max,Set of 9 mesh produce bags for eco-friendly grocery shopping,Home & Kitchen,DreamComfort,44436.0,4.3,true,"home,produce,reusable,bags,kitchen",2025-06-25T00:00:00Z
P135,Mindful Meditation Guide Plus,Simple techniques for daily mindfulness and stress reduction,Books,HistoryPress,33213.6,4.1,true,"books,guide,meditation,mindful",2025-08-24T00:00:00Z
P136,Elite Boxing Speed Bag Pro,High-grade leather speed bag for developing hand-eye coordination,Sports,TrailBlaze,20328.0,4.7,true,"sports,pro,bag,boxing,speed",2025-07-11T00:00:00Z
P137,Pro Canvas Slip-On Shoes,Comfortable everyday canvas slip-ons with cushioned insoles and rubber outsoles,Clothing,SportStep,126523.6,4.3,true,"slip-on,clothing,canvas,shoes",2025-03-31T00:00:00Z
P138,Mindful Meditation Guide Pro Elite,Simple techniques for daily mindfulness and stress reduction,Books,GreenBooks,134475.6,4.0,true,"guide,pro,books,meditation,mindful",2025-02-22T00:00:00Z
